State,District,Market,Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-03-2021 to 19-03-2026,Arrival Unit,Min Price 01-03-2021 to 19-03-2026,Modal Price 01-03-2021 to 19-03-2026,Max Price 01-03-2021 to 19-03-2026,Price Unit
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,14-08-2021,-,1.00,Metric Tonnes,1000.00,4500.00,8000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,04-09-2021,-,1.00,Metric Tonnes,1000.00,2500.00,4000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,28-06-2022,-,1.00,Metric Tonnes,1500.00,4250.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,03-07-2022,-,1.00,Metric Tonnes,3000.00,6500.00,10000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,06-08-2022,-,1.00,Metric Tonnes,1000.00,4500.00,8000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,28-02-2023,-,21.00,Metric Tonnes,1000.00,2750.00,4500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,22-07-2023,-,1.00,Metric Tonnes,2500.00,6250.00,10000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,01-09-2023,-,1.00,Metric Tonnes,1000.00,2500.00,4000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,09-09-2024,-,11.00,Metric Tonnes,1000.00,4500.00,8000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,10-09-2024,-,11.40,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,12-09-2024,-,13.40,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,19-09-2024,-,8.50,Metric Tonnes,1000.00,2500.00,4000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,20-09-2024,-,13.40,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,21-09-2024,-,16.00,Metric Tonnes,1000.00,3000.00,5000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,23-09-2024,-,15.20,Metric Tonnes,800.00,2650.00,4500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,24-09-2024,-,18.30,Metric Tonnes,1000.00,3250.00,5500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,26-09-2024,-,20.50,Metric Tonnes,1000.00,2750.00,4500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,28-09-2024,-,13.40,Metric Tonnes,800.00,2650.00,4500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,01-10-2024,-,19.00,Metric Tonnes,2500.00,3300.00,4000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,05-10-2024,-,15.10,Metric Tonnes,1000.00,3250.00,5500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,11-10-2024,-,20.10,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,25-10-2024,-,15.60,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,28-10-2024,-,8.20,Metric Tonnes,1000.00,2750.00,4500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,07-11-2024,-,6.10,Metric Tonnes,1000.00,3750.00,6500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,03-12-2024,-,6.70,Metric Tonnes,1000.00,3250.00,5500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,14-12-2024,-,2.80,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,15-12-2024,-,5.90,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,17-12-2024,-,3.20,Metric Tonnes,1000.00,3250.00,5500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,19-12-2024,-,3.20,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,20-12-2024,-,3.00,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,21-12-2024,-,0.80,Metric Tonnes,1000.00,3000.00,5000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,23-12-2024,-,3.80,Metric Tonnes,1000.00,3000.00,5000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,26-12-2024,-,6.00,Metric Tonnes,700.00,3350.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,28-12-2024,-,4.20,Metric Tonnes,500.00,3250.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,30-12-2024,-,2.30,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,06-01-2025,-,3.20,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,12-01-2025,-,3.20,Metric Tonnes,1000.00,3000.00,5000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,20-01-2025,-,6.10,Metric Tonnes,1000.00,3750.00,6500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,21-01-2025,-,11.30,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,23-01-2025,-,11.00,Metric Tonnes,1000.00,3750.00,6500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,27-01-2025,-,6.70,Metric Tonnes,1000.00,3250.00,5500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,30-01-2025,-,14.70,Metric Tonnes,1000.00,3250.00,5500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,02-02-2025,-,99.20,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,03-02-2025,-,18.50,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,04-02-2025,-,21.90,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,16-02-2025,-,41.30,Metric Tonnes,500.00,3250.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,20-02-2025,-,55.20,Metric Tonnes,1000.00,3500.00,6000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,21-02-2025,-,57.00,Metric Tonnes,1000.00,3750.00,6500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,27-02-2025,-,63.40,Metric Tonnes,1000.00,3600.00,6200.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,10-03-2025,-,56.50,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,13-03-2025,-,48.70,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,14-03-2025,-,64.50,Metric Tonnes,1000.00,3500.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,16-03-2025,-,50.70,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,17-03-2025,-,43.20,Metric Tonnes,1000.00,4250.00,7500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,18-03-2025,-,62.20,Metric Tonnes,1000.00,4250.00,7500.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,23-03-2025,-,36.00,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,24-03-2025,-,45.70,Metric Tonnes,1000.00,4500.00,8000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Fruits,Orange,25-03-2025,-,33.10,Metric Tonnes,1000.00,4000.00,7000.00,Rs./Quintal
